COM,REG,REG_LIBELLE,DEP,DEP_LIBELLE,TNCC,NCC,NCCENR,LIBELLE
01001,84,Auvergne-Rhône-Alpes,01,Ain,5,ABERGEMENT CLEMENCIAT,Abergement-Clémenciat,L'Abergement-Clémenciat
01002,84,Auvergne-Rhône-Alpes,01,Ain,5,ABERGEMENT DE VAREY,Abergement-de-Varey,L'Abergement-de-Varey
01004,84,Auvergne-Rhône-Alpes,01,Ain,1,AMBERIEU EN BUGEY,Ambérieu-en-Bugey,Ambérieu-en-Bugey
01005,84,Auvergne-Rhône-Alpes,01,Ain,1,AMBERIEUX EN DOMBES,Ambérieux-en-Dombes,Ambérieux-en-Dombes
01006,84,Auvergne-Rhône-Alpes,01,Ain,1,AMBLEON,Ambléon,Ambléon
01007,84,Auvergne-Rhône-Alpes,01,Ain,1,AMBRONAY,Ambronay,Ambronay
01008,84,Auvergne-Rhône-Alpes,01,Ain,1,AMBUTRIX,Ambutrix,Ambutrix
01009,84,Auvergne-Rhône-Alpes,01,Ain,1,ANDERT ET CONDON,Andert-et-Condon,Andert-et-Condon
01010,84,Auvergne-Rhône-Alpes,01,Ain,1,ANGLEFORT,Anglefort,Anglefort
01011,84,Auvergne-Rhône-Alpes,01,Ain,1,APREMONT,Apremont,Apremont
01012,84,Auvergne-Rhône-Alpes,01,Ain,1,ARANC,Aranc,Aranc
01013,84,Auvergne-Rhône-Alpes,01,Ain,1,ARANDAS,Arandas,Arandas
01014,84,Auvergne-Rhône-Alpes,01,Ain,1,ARBENT,Arbent,Arbent
01015,84,Auvergne-Rhône-Alpes,01,Ain,1,ARBOYS EN BUGEY,Arboys en Bugey,Arboys en Bugey
01016,84,Auvergne-Rhône-Alpes,01,Ain,1,ARBIGNY,Arbigny,Arbigny
01017,84,Auvergne-Rhône-Alpes,01,Ain,1,ARGIS,Argis,Argis
01019,84,Auvergne-Rhône-Alpes,01,Ain,1,ARMIX,Armix,Armix
01021,84,Auvergne-Rhône-Alpes,01,Ain,1,ARS SUR FORMANS,Ars-sur-Formans,Ars-sur-Formans
01022,84,Auvergne-Rhône-Alpes,01,Ain,1,ARTEMARE,Artemare,Artemare
01023,84,Auvergne-Rhône-Alpes,01,Ain,1,ASNIERES SUR SAONE,Asnières-sur-Saône,Asnières-sur-Saône
01024,84,Auvergne-Rhône-Alpes,01,Ain,1,ATTIGNAT,Attignat,Attignat
01025,84,Auvergne-Rhône-Alpes,01,Ain,0,BAGE DOMMARTIN,Bâgé-Dommartin,Bâgé-Dommartin
01026,84,Auvergne-Rhône-Alpes,01,Ain,0,BAGE LE CHATEL,Bâgé-le-Châtel,Bâgé-le-Châtel
01027,84,Auvergne-Rhône-Alpes,01,Ain,0,BALAN,Balan,Balan
01028,84,Auvergne-Rhône-Alpes,01,Ain,0,BANEINS,Baneins,Baneins
01029,84,Auvergne-Rhône-Alpes,01,Ain,0,BEAUPONT,Beaupont,Beaupont
01030,84,Auvergne-Rhône-Alpes,01,Ain,0,BEAUREGARD,Beauregard,Beauregard
01031,84,Auvergne-Rhône-Alpes,01,Ain,0,BELLIGNAT,Bellignat,Bellignat
01032,84,Auvergne-Rhône-Alpes,01,Ain,0,BELIGNEUX,Béligneux,Béligneux
01033,84,Auvergne-Rhône-Alpes,01,Ain,0,VALSERHONE,Valserhône,Valserhône
01034,84,Auvergne-Rhône-Alpes,01,Ain,0,BELLEY,Belley,Belley
01035,84,Auvergne-Rhône-Alpes,01,Ain,0,BELLEYDOUX,Belleydoux,Belleydoux
01036,84,Auvergne-Rhône-Alpes,01,Ain,0,VALROMEY SUR SERAN,Valromey-sur-Séran,Valromey-sur-Séran
01037,84,Auvergne-Rhône-Alpes,01,Ain,0,BENONCES,Bénonces,Bénonces
01038,84,Auvergne-Rhône-Alpes,01,Ain,0,BENY,Bény,Bény
01039,84,Auvergne-Rhône-Alpes,01,Ain,0,BEON,Béon,Béon
01040,84,Auvergne-Rhône-Alpes,01,Ain,0,BEREZIAT,Béréziat,Béréziat
01041,84,Auvergne-Rhône-Alpes,01,Ain,0,BETTANT,Bettant,Bettant
01042,84,Auvergne-Rhône-Alpes,01,Ain,0,BEY,Bey,Bey
01043,84,Auvergne-Rhône-Alpes,01,Ain,0,BEYNOST,Beynost,Beynost
01044,84,Auvergne-Rhône-Alpes,01,Ain,0,BILLIAT,Billiat,Billiat
01045,84,Auvergne-Rhône-Alpes,01,Ain,0,BIRIEUX,Birieux,Birieux
01046,84,Auvergne-Rhône-Alpes,01,Ain,0,BIZIAT,Biziat,Biziat
01047,84,Auvergne-Rhône-Alpes,01,Ain,0,BLYES,Blyes,Blyes
01049,84,Auvergne-Rhône-Alpes,01,Ain,3,BOISSE,Boisse,La Boisse
01050,84,Auvergne-Rhône-Alpes,01,Ain,0,BOISSEY,Boissey,Boissey
01051,84,Auvergne-Rhône-Alpes,01,Ain,0,BOLOZON,Bolozon,Bolozon
01052,84,Auvergne-Rhône-Alpes,01,Ain,0,BOULIGNEUX,Bouligneux,Bouligneux
01053,84,Auvergne-Rhône-Alpes,01,Ain,0,BOURG EN BRESSE,Bourg-en-Bresse,Bourg-en-Bresse
01054,84,Auvergne-Rhône-Alpes,01,Ain,0,BOURG SAINT CHRISTOPHE,Bourg-Saint-Christophe,Bourg-Saint-Christophe
01056,84,Auvergne-Rhône-Alpes,01,Ain,0,BOYEUX SAINT JEROME,Boyeux-Saint-Jérôme,Boyeux-Saint-Jérôme
01057,84,Auvergne-Rhône-Alpes,01,Ain,0,BOZ,Boz,Boz
01058,84,Auvergne-Rhône-Alpes,01,Ain,0,BREGNIER CORDON,Brégnier-Cordon,Brégnier-Cordon
01060,84,Auvergne-Rhône-Alpes,01,Ain,0,BRENOD,Brénod,Brénod
01061,84,Auvergne-Rhône-Alpes,01,Ain,0,BRENS,Brens,Brens
01062,84,Auvergne-Rhône-Alpes,01,Ain,0,BRESSOLLES,Bressolles,Bressolles
01063,84,Auvergne-Rhône-Alpes,01,Ain,0,BRION,Brion,Brion
01064,84,Auvergne-Rhône-Alpes,01,Ain,0,BRIORD,Briord,Briord
01065,84,Auvergne-Rhône-Alpes,01,Ain,0,BUELLAS,Buellas,Buellas
01066,84,Auvergne-Rhône-Alpes,01,Ain,3,BURBANCHE,Burbanche,La Burbanche
01067,84,Auvergne-Rhône-Alpes,01,Ain,0,CEIGNES,Ceignes,Ceignes
01068,84,Auvergne-Rhône-Alpes,01,Ain,0,CERDON,Cerdon,Cerdon
01069,84,Auvergne-Rhône-Alpes,01,Ain,0,CERTINES,Certines,Certines
01071,84,Auvergne-Rhône-Alpes,01,Ain,0,CESSY,Cessy,Cessy
01072,84,Auvergne-Rhône-Alpes,01,Ain,0,CEYZERIAT,Ceyzériat,Ceyzériat
01073,84,Auvergne-Rhône-Alpes,01,Ain,0,CEYZERIEU,Ceyzérieu,Ceyzérieu
01074,84,Auvergne-Rhône-Alpes,01,Ain,0,CHALAMONT,Chalamont,Chalamont
01075,84,Auvergne-Rhône-Alpes,01,Ain,0,CHALEINS,Chaleins,Chaleins
01076,84,Auvergne-Rhône-Alpes,01,Ain,0,CHALEY,Chaley,Chaley
01077,84,Auvergne-Rhône-Alpes,01,Ain,0,CHALLES LA MONTAGNE,Challes-la-Montagne,Challes-la-Montagne
01078,84,Auvergne-Rhône-Alpes,01,Ain,0,CHALLEX,Challex,Challex
01079,84,Auvergne-Rhône-Alpes,01,Ain,0,CHAMPAGNE EN VALROMEY,Champagne-en-Valromey,Champagne-en-Valromey
01080,84,Auvergne-Rhône-Alpes,01,Ain,0,CHAMPDOR CORCELLES,Champdor-Corcelles,Champdor-Corcelles
01081,84,Auvergne-Rhône-Alpes,01,Ain,0,CHAMPFROMIER,Champfromier,Champfromier
01082,84,Auvergne-Rhône-Alpes,01,Ain,0,CHANAY,Chanay,Chanay
01083,84,Auvergne-Rhône-Alpes,01,Ain,0,CHANEINS,Chaneins,Chaneins
01084,84,Auvergne-Rhône-Alpes,01,Ain,0,CHANOZ CHATENAY,Chanoz-Châtenay,Chanoz-Châtenay
01085,84,Auvergne-Rhône-Alpes,01,Ain,3,CHAPELLE DU CHATELARD,Chapelle-du-Châtelard,La Chapelle-du-Châtelard
01087,84,Auvergne-Rhône-Alpes,01,Ain,0,CHARIX,Charix,Charix
01088,84,Auvergne-Rhône-Alpes,01,Ain,0,CHARNOZ SUR AIN,Charnoz-sur-Ain,Charnoz-sur-Ain
01089,84,Auvergne-Rhône-Alpes,01,Ain,0,CHATEAU GAILLARD,Château-Gaillard,Château-Gaillard
01090,84,Auvergne-Rhône-Alpes,01,Ain,0,CHATENAY,Châtenay,Châtenay
01092,84,Auvergne-Rhône-Alpes,01,Ain,0,CHATILLON LA PALUD,Châtillon-la-Palud,Châtillon-la-Palud
01093,84,Auvergne-Rhône-Alpes,01,Ain,0,CHATILLON SUR CHALARONNE,Châtillon-sur-Chalaronne,Châtillon-sur-Chalaronne
01094,84,Auvergne-Rhône-Alpes,01,Ain,0,CHAVANNES SUR REYSSOUZE,Chavannes-sur-Reyssouze,Chavannes-sur-Reyssouze
01095,84,Auvergne-Rhône-Alpes,01,Ain,0,NIVIGNE ET SURAN,Nivigne et Suran,Nivigne et Suran
01096,84,Auvergne-Rhône-Alpes,01,Ain,0,CHAVEYRIAT,Chaveyriat,Chaveyriat
01098,84,Auvergne-Rhône-Alpes,01,Ain,0,CHAZEY BONS,Chazey-Bons,Chazey-Bons
01099,84,Auvergne-Rhône-Alpes,01,Ain,0,CHAZEY SUR AIN,Chazey-sur-Ain,Chazey-sur-Ain
01100,84,Auvergne-Rhône-Alpes,01,Ain,0,CHEIGNIEU LA BALME,Cheignieu-la-Balme,Cheignieu-la-Balme
01101,84,Auvergne-Rhône-Alpes,01,Ain,0,CHEVILLARD,Chevillard,Chevillard
01102,84,Auvergne-Rhône-Alpes,01,Ain,0,CHEVROUX,Chevroux,Chevroux
01103,84,Auvergne-Rhône-Alpes,01,Ain,0,CHEVRY,Chevry,Chevry
01104,84,Auvergne-Rhône-Alpes,01,Ain,0,CHEZERY FORENS,Chézery-Forens,Chézery-Forens
01105,84,Auvergne-Rhône-Alpes,01,Ain,0,CIVRIEUX,Civrieux,Civrieux
01106,84,Auvergne-Rhône-Alpes,01,Ain,0,CIZE,Cize,Cize
01107,84,Auvergne-Rhône-Alpes,01,Ain,0,CLEYZIEU,Cleyzieu,Cleyzieu
01108,84,Auvergne-Rhône-Alpes,01,Ain,0,COLIGNY,Coligny,Coligny
01109,84,Auvergne-Rhône-Alpes,01,Ain,0,COLLONGES,Collonges,Collonges
01110,84,Auvergne-Rhône-Alpes,01,Ain,0,COLOMIEU,Colomieu,Colomieu
01111,84,Auvergne-Rhône-Alpes,01,Ain,0,CONAND,Conand,Conand
01112,84,Auvergne-Rhône-Alpes,01,Ain,0,CONDAMINE,Condamine,Condamine
01113,84,Auvergne-Rhône-Alpes,01,Ain,0,CONDEISSIAT,Condeissiat,Condeissiat
01114,84,Auvergne-Rhône-Alpes,01,Ain,0,CONFORT,Confort,Confort
01115,84,Auvergne-Rhône-Alpes,01,Ain,0,CONFRANCON,Confrançon,Confrançon
01116,84,Auvergne-Rhône-Alpes,01,Ain,0,CONTREVOZ,Contrevoz,Contrevoz
01117,84,Auvergne-Rhône-Alpes,01,Ain,0,CONZIEU,Conzieu,Conzieu
01118,84,Auvergne-Rhône-Alpes,01,Ain,0,CORBONOD,Corbonod,Corbonod
01121,84,Auvergne-Rhône-Alpes,01,Ain,0,CORLIER,Corlier,Corlier
01123,84,Auvergne-Rhône-Alpes,01,Ain,0,CORMORANCHE SUR SAONE,Cormoranche-sur-Saône,Cormoranche-sur-Saône
01124,84,Auvergne-Rhône-Alpes,01,Ain,0,CORMOZ,Cormoz,Cormoz
01125,84,Auvergne-Rhône-Alpes,01,Ain,0,CORVEISSIAT,Corveissiat,Corveissiat
01127,84,Auvergne-Rhône-Alpes,01,Ain,0,COURMANGOUX,Courmangoux,Courmangoux
01128,84,Auvergne-Rhône-Alpes,01,Ain,0,COURTES,Courtes,Courtes
01129,84,Auvergne-Rhône-Alpes,01,Ain,0,CRANS,Crans,Crans
01130,84,Auvergne-Rhône-Alpes,01,Ain,0,BRESSE VALLONS,Bresse Vallons,Bresse Vallons
