code_insee,pop,nom,nom_court,nom_tres_court
01001,798,L'Abergement-Clémenciat,L'Abergement-C.,L'Abergement
01002,225,L'Abergement-de-Varey,L'Abergement-de-V.,L'Abergement
01004,14316,Ambérieu-en-Bugey,Ambérieu-en-B.,Ambérieu
01005,1638,Ambérieux-en-Dombes,Ambérieux-en-D.,Ambérieux
01006,122,Ambléon,Ambléon,Ambléon
01007,2481,Ambronay,Ambronay,Ambronay
01008,745,Ambutrix,Ambutrix,Ambutrix
01009,356,Andert-et-Condon,Andert-et-C.,Andert
01010,1007,Anglefort,Anglefort,Anglefort
01011,371,Apremont,Apremont,Apremont
01012,309,Aranc,Aranc,Aranc
01013,168,Arandas,Arandas,Arandas
01014,3603,Arbent,Arbent,Arbent
01015,492,Arbignieu,Arbignieu,Arbignieu
01016,411,Arbigny,Arbigny,Arbigny
01017,429,Argis,Argis,Argis
01019,22,Armix,Armix,Armix
01021,1387,Ars-sur-Formans,Ars-sur-F.,Ars
01022,1166,Artemare,Artemare,Artemare
01023,74,Asnières-sur-Saône,Asnières-sur-S.,Asnières
01024,2981,Attignat,Attignat,Attignat
01025,3132,Bâgé-la-Ville,Bâgé-la-V.,Bâgé
01026,871,Bâgé-le-Châtel,Bâgé-le-C.,Bâgé
01027,2439,Balan,Balan,Balan
01028,579,Baneins,Baneins,Baneins
01170,960,Béard-Géovreissiat,Béard-G.,Béard
01029,629,Beaupont,Beaupont,Beaupont
01030,887,Beauregard,Beauregard,Beauregard
01032,2960,Béligneux,Béligneux,Béligneux
01033,12161,Bellegarde-sur-Valserine,Bellegarde-sur-V.,Bellegarde
01034,9183,Belley,Belley,Belley
01035,338,Belleydoux,Belleydoux,Belleydoux
01031,3712,Bellignat,Bellignat,Bellignat
01036,529,Belmont-Luthézieu,Belmont-L.,Belmont
01037,279,Bénonces,Bénonces,Bénonces
01038,744,Bény,Bény,Bény
01039,386,Béon,Béon,Béon
01040,455,Béréziat,Béréziat,Béréziat
01041,736,Bettant,Bettant,Bettant
01042,255,Bey,Bey,Bey
01043,4571,Beynost,Beynost,Beynost
01044,489,Billiat,Billiat,Billiat
01045,238,Birieux,Birieux,Birieux
01046,811,Biziat,Biziat,Biziat
01047,899,Blyes,Blyes,Blyes
01245,847,Bohas-Meyriat-Rignat,Bohas-M.-R.,Bohas
01049,2980,La Boisse,La Boisse,La Boisse
01050,295,Boissey,Boissey,Boissey
01051,98,Bolozon,Bolozon,Bolozon
01052,312,Bouligneux,Bouligneux,Bouligneux
01053,42184,Bourg-en-Bresse,Bourg-en-B.,Bourg
01054,1191,Bourg-Saint-Christophe,Bourg-St-C.,Bourg
01056,329,Boyeux-Saint-Jérôme,Boyeux-St-J.,Boyeux
01057,499,Boz,Boz,Boz
01058,856,Brégnier-Cordon,Brégnier-C.,Brégnier
01059,96,Brénaz,Brénaz,Brénaz
01060,561,Brénod,Brénod,Brénod
01061,1192,Brens,Brens,Brens
01062,727,Bressolles,Bressolles,Bressolles
01063,525,Brion,Brion,Brion
01064,906,Briord,Briord,Briord
01065,1738,Buellas,Buellas,Buellas
01066,73,La Burbanche,La Burbanche,La Burbanche
01067,269,Ceignes,Ceignes,Ceignes
01068,755,Cerdon,Cerdon,Cerdon
01069,1480,Certines,Certines,Certines
01071,4125,Cessy,Cessy,Cessy
01072,2815,Ceyzériat,Ceyzériat,Ceyzériat
01073,960,Ceyzérieu,Ceyzérieu,Ceyzérieu
01074,2359,Chalamont,Chalamont,Chalamont
01075,1197,Chaleins,Chaleins,Chaleins
01076,132,Chaley,Chaley,Chaley
01077,186,Challes-la-Montagne,Challes-la-M.,Challes
01078,1253,Challex,Challex,Challex
01079,784,Champagne-en-Valromey,Champagne-en-V.,Champagne
01080,476,Champdor,Champdor,Champdor
01081,696,Champfromier,Champfromier,Champfromier
01082,629,Chanay,Chanay,Chanay
01083,839,Chaneins,Chaneins,Chaneins
01084,711,Chanoz-Châtenay,Chanoz-C.,Chanoz
01085,346,La Chapelle-du-Châtelard,La Chapelle-du-C.,La Chapelle
01087,300,Charix,Charix,Charix
01088,924,Charnoz-sur-Ain,Charnoz-sur-A.,Charnoz
01089,1851,Château-Gaillard,Château-G.,Château
01090,355,Châtenay,Châtenay,Châtenay
01091,3198,Châtillon-en-Michaille,Châtillon-en-M.,Châtillon
01092,1631,Châtillon-la-Palud,Châtillon-la-P.,Châtillon
01093,5133,Châtillon-sur-Chalaronne,Châtillon-sur-C.,Châtillon
01094,694,Chavannes-sur-Reyssouze,Chavannes-sur-R.,Chavannes
01095,655,Chavannes-sur-Suran,Chavannes-sur-S.,Chavannes
01096,946,Chaveyriat,Chaveyriat,Chaveyriat
01097,209,Chavornay,Chavornay,Chavornay
01098,757,Chazey-Bons,Chazey-B.,Chazey
01099,1504,Chazey-sur-Ain,Chazey-sur-A.,Chazey
01100,159,Cheignieu-la-Balme,Cheignieu-la-B.,Cheignieu
01101,170,Chevillard,Chevillard,Chevillard
01102,943,Chevroux,Chevroux,Chevroux
01103,1285,Chevry,Chevry,Chevry
01104,448,Chézery-Forens,Chézery-F.,Chézery
01105,1439,Civrieux,Civrieux,Civrieux
01106,172,Cize,Cize,Cize
01107,135,Cleyzieu,Cleyzieu,Cleyzieu
01108,1175,Coligny,Coligny,Coligny
01109,1930,Collonges,Collonges,Collonges
01110,117,Colomieu,Colomieu,Colomieu
01111,109,Conand,Conand,Conand
01112,437,Condamine,Condamine,Condamine
01113,772,Condeissiat,Condeissiat,Condeissiat
01114,542,Confort,Confort,Confort
01115,1177,Confrançon,Confrançon,Confrançon
01116,556,Contrevoz,Contrevoz,Contrevoz
01117,140,Conzieu,Conzieu,Conzieu
01118,1198,Corbonod,Corbonod,Corbonod
01119,252,Corcelles,Corcelles,Corcelles
01121,126,Corlier,Corlier,Corlier
01122,936,Cormaranche-en-Bugey,Cormaranche-en-B.,Cormaranche
01123,1076,Cormoranche-sur-Saône,Cormoranche-sur-S.,Cormoranche
01124,633,Cormoz,Cormoz,Cormoz
01125,617,Corveissiat,Corveissiat,Corveissiat
01127,517,Courmangoux,Courmangoux,Courmangoux
01128,269,Courtes,Courtes,Courtes
01129,278,Crans,Crans,Crans
01130,1271,Cras-sur-Reyssouze,Cras-sur-R.,Cras
01133,378,Cressin-Rochefort,Cressin-R.,Cressin
01134,1773,Crottet,Crottet,Crottet
01135,1929,Crozet,Crozet,Crozet
01136,835,Cruzilles-lès-Mépillat,Cruzilles-lès-M.,Cruzilles
01138,2963,Culoz,Culoz,Culoz
01139,463,Curciat-Dongalon,Curciat-D.,Curciat
01140,710,Curtafond,Curtafond,Curtafond
01141,424,Cuzieu,Cuzieu,Cuzieu
